biller.ar_file.parent_business_id | No Mapping |  | None of the provided questions directly relate to the parent business ID.
biller.ar_file.parent_business_id | No Mapping |  | There is no specific key in the JSON data that matches the rule 'ar_file.parent_business_id'.
biller.parent_id | No Mapping |  | There is no specific key in the JSON data that matches the rule 'parent_id'.
biller.settlement_business_id | No Mapping |  | There is no specific key in the JSON data that matches the rule 'settlement_business_id'.
biller.settlement.fee.pecom_originates_flag | No Mapping |  | There is no specific key in the JSON data that matches the rule 'settlement.fee.pecom_originates_flag'.
biller.reversal.fee.pecom_originates_flag | No Mapping |  | There is no specific key in the JSON data that matches the rule 'reversal.fee.pecom_originates_flag'.
application_business_id | customerId | 0.7054492831230164 | The rule 'application_business_id' is relevant to the 'customerId' field in the 'clientInformation' section, which uniquely identifies the business application.
ia_rule.parent_business_id | No Mapping |  | The rule 'ia_rule.parent_business_id' does not directly map to any specific field in the provided JSON data.
branding_business_id | No Mapping |  | The rule 'branding_business_id' does not directly map to any specific field in the provided JSON data.
remit_fee.types | No Mapping |  | The rule 'remit_fee.types' does not directly map to any specific field in the provided JSON data.
remit_fee.fixed.ach_amount | achFlat | 0.7301795482635498 | The rule 'remit_fee.fixed.ach_amount' is relevant to the 'achFlat' field in the 'fundingMethods' section, which specifies the fixed ACH amount.
remit_fee.fixed.cc_amount | creditFlat | 0.7105055451393127 | The rule 'remit_fee.fixed.cc_amount' is relevant to the 'creditFlat' field in the 'fundingMethods' section, which specifies the fixed credit card amount.
remit_fee.fixed.dc_amount | sigDebitFlat | 0.7077215313911438 | The rule 'remit_fee.fixed.dc_amount' is relevant to the 'sigDebitFlat' field in the 'fundingMethods' section, which specifies the fixed debit card amount.
remit_fee.fixed.visa_amount | No Mapping |  | The rule 'remit_fee.fixed.visa_amount' does not directly map to any specific field in the provided JSON data.
remit_fee.fixed.mc_amount | No Mapping |  | The rule 'remit_fee.fixed.mc_amount' does not directly map to any specific field in the provided JSON data.
one_time_pay_ivr.application_business_id | ivrNumber1 | 0.7408186793327332 | The rule 'one_time_pay_ivr.application_business_id' is relevant to the 'ivrNumber1' field in the 'ivr' section, which identifies the IVR application.
biller.collector_business_id | achcompanyID | 0.6894494891166687 | The rule 'biller.collector_business_id' is relevant to the 'achcompanyID' field in the 'achPaymentProcessing' section, which identifies the collector business.
biller.ar_file.parent_business_id | No Mapping |  | The rule 'biller.ar_file.parent_business_id' does not directly map to any specific field in the provided JSON data.
biller.parent_id | No Mapping |  | The rule 'biller.parent_id' does not directly map to any specific field in the provided JSON data.
biller.settlement_business_id | No Mapping |  | The rule 'biller.settlement_business_id' does not directly map to any specific field in the provided JSON data.
application_business_id | customerId | 0.7054492831230164 | The rule 'application_business_id' is relevant to the 'customerId' field in the 'clientInformation' section, which uniquely identifies the business application.
ia_rule.parent_business_id | No Mapping |  | The rule 'ia_rule.parent_business_id' does not directly map to any specific field in the provided JSON data.
branding_business_id | No Mapping |  | The rule 'branding_business_id' does not directly map to any specific field in the provided JSON data.
one_time_pay_ivr.application_business_id | ivrNumber1 | 0.740879237651825 | The rule 'one_time_pay_ivr.application_business_id' is relevant to the 'ivrNumber1' field in the 'ivr' section, which identifies the IVR application.
biller.collector_business_id | achcompanyID | 0.6894494891166687 | The rule 'biller.collector_business_id' is relevant to the 'achcompanyID' field in the 'achPaymentProcessing' section, which identifies the collector business.
